,artist_name,artist_id,track_name,track_id,popularity,artist_popularity,genres,followers
603,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Die For You,1Wpil5J78JcLBCGR7psA0m,1,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
604,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Die For You,4nZao8gW3arr3QRGNvENnF,0,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
605,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Can't Feel My Face,1Gnyt1wk4a3KnxT6E7T34h,2,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
606,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Is There Someone Else?,2XoaAaZJcKLg1mX8IRdhEr,1,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
607,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Starboy,1Olo180aj4CoUBxdUpKGKf,0,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
608,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Die For You,6B5j9OjFBmyIZbvR57mGNR,0,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
609,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Call Out My Name,0iwWlPe5L0CtS5G0xpyeY0,2,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
610,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Less Than Zero,7HvpYpYQGZ0IVnbCfh6HRj,0,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
611,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Die For You,7pKT4I014zXJ8XJdD1ZhzW,1,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
612,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Dark Times,2qth6Qb8nUluuDGV0uN48c,1,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
613,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Save Your Tears,0nijv6WXoNd8g3ISchEUMZ,1,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
614,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Starboy,4oNTNWb4iFHFCIfDBf1ge9,0,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
615,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Often - Kygo Remix,5U5sgSEsaxANe8qf66W1HN,0,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
616,Drake,3TVXtAsR1Inumwj472S9r4,Calling For You (feat. 21 Savage),4ZerVPIpjjqG7pGQJ9KgDT,76,95,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",81476124
617,Natanael Cano,0elWFr7TW8piilVRYJUe4P,El Toro Encartado - Spotify Singles,2cpAMkytkJoaaLYO6pXBey,83,84,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']",9278329
618,beabadoobee,35l9BRT7MXmM8bv2WDQiyB,Glue Song (feat. Clairo),0tMMPZEt6Gyrl9FI8zSicm,78,74,"['bedroom pop', 'bubblegrunge', 'indie pop', 'pov: indie']",2679814
619,Ken Carson,3gBZUcNeVumkeeJ19CY2sX,Nightcore,5wotbFovMedDXEMKC4DrHf,74,77,['rage rap'],809613
620,Hozier,2FXC3k01G6Gw61bmprjgqS,De Selby (Part 2),3SRtygyWBQnoxuOPtdBPm2,72,79,"['irish singer-songwriter', 'modern rock', 'pov: indie']",6069608
621,Jimin,1oSPZhvZMIrWW5I41kPkkY,Face-off,3OdIiWnYRHPYtC313Z0Bwy,82,80,['k-pop'],6820194
622,Falling In Reverse,2CmaKO2zEGJ1NWpS1yfVGz,Watch The World Burn,4CiVz4bw7X1zjCaJ5ZwxUS,78,69,"['alternative metal', 'pop punk', 'rap metal']",2838023
623,Muscadine Bloodline,0EyZDKtc41e4A3a3v69MxD,Me On You,1wwjfgCUXaupR7q3tv6ZXN,73,62,['modern country pop'],214912
624,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,I Was Never There,2b8yhmg8qCoR9G3rH64pS9,0,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
625,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Die For You,7ApZEigUvQZ87ZkM2VQ8rD,0,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
626,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Starboy,1JGUmx1KbVxbKrIGl3iow8,0,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
627,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Save Your Tears,3C2OESevCYUUStGBvOTdto,1,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
628,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Take My Breath - Single Version,4GMsq004Z94gPkYSv6iOXS,0,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
629,Kane Brown,3oSJ7TBVCWMDMiYjXNiCKE,I Can Feel It,2eGvz6O6tVnh9nKiitDEhZ,73,70,"['black americana', 'contemporary country', 'country', 'country road']",5204805
630,Summer Walker,57LYzLEk2LcFghVwuWbcuS,"To Summer, From Cole - Audio Hug",2f86Ae3R4OKAu1lEIqouih,75,77,"['r&b', 'rap']",5610541
631,Paris Paloma,2EXpthNgSeTDeX8nGwxppp,labour,2Ggr9IfS70wYQacW8nZKPG,78,60,['singer-songwriter pop'],265637
632,Memphis Cult,6n9sdNb7mWvVmARDT6ujnJ,9mm,2Dp5Rqruog8SR6x7UtlIpY,83,63,['memphis phonk'],89309
633,Luke Combs,718COspgdWOnwOFpJHRZHS,Where the Wild Things Are,0eBFgRxyVSeuT4iyrbukdn,76,81,"['contemporary country', 'country']",9487592
634,Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,Tim's Intro,7qzQfE2se3Ai5reZcxs920,73,82,"['r&b', 'rap']",4864019
635,Parker McCollum,0Z8XVUAOBPM4x12wKnFHEQ,Burn It Down - Radio Edit,4bARASJEokNacSYtEhoNBp,72,65,"['classic texas country', 'texas country']",370506
636,Mae Stephens,311uEW9rt5g2NmzjGEKS2E,If We Ever Broke Up,6maTPqynTmrkWIralgGaoP,83,65,['singer-songwriter pop'],145841
637,6YNTHMANE,24YUNOEuu3kf4OOtC8cQE5,BRAZILIAN DANÇA PHONK,6yVjjQA31SLM1kc4j5jPwF,85,64,[],70433
638,Ken Carson,3gBZUcNeVumkeeJ19CY2sX,Pots,1uKWqIe47TjOC06rvTEWQa,74,77,['rage rap'],809613
639,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,LOKERA,1aUq8rjW1EwkAkMri4VfJy,80,85,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",19176252
